RPM	HP	Torque (lb-ft)
5000	32.24	33.86
5050	32.76	34.07
5100	33.33	34.32
5150	33.92	34.59
5200	34.49	34.84
5250	35.22	35.23
5300	35.95	35.62
5350	37.39	36.71
5400	38.11	37.07
5450	38.63	37.23
5500	39.70	37.91
5550	40.40	38.23
5600	41.13	38.57
5650	41.53	38.60
5700	41.84	38.55
5750	42.05	38.41
5800	42.24	38.25
5850	42.38	38.05
5900	42.56	37.88
5950	42.75	37.74
6000	42.94	37.59
6050	43.11	37.42
6100	43.54	37.49
6150	44.17	37.72
6200	44.82	37.96
6250	45.70	38.40
6300	46.61	38.85
6350	47.77	39.51
6400	48.91	40.13
6450	49.77	40.53
6500	50.44	40.76
6550	51.13	41.00
6600	51.68	41.12
6650	51.87	40.96
6700	52.04	40.80
6750	52.18	40.60
6800	52.27	40.37
6850	52.52	40.27
6900	52.66	40.09
6950	52.91	39.98
7000	53.13	39.86
7050	53.31	39.72
7100	53.48	39.56
7150	53.64	39.40
7200	53.75	39.21
7250	53.91	39.05
7300	54.22	39.01
7350	54.77	39.14
7400	55.32	39.26
7450	55.80	39.34
7500	56.26	39.39
7550	56.44	39.26
7600	56.66	39.15
7650	56.91	39.07
7700	57.33	39.10
7750	57.77	39.15
7800	58.33	39.27
7850	59.12	39.55
7900	59.31	39.43
8000	59.49	39.06
8050	59.95	39.11
8100	60.28	39.08
8150	60.80	39.18
8200	61.34	39.29
8250	61.97	39.45
8300	62.48	39.54
8350	62.95	39.60
8400	63.42	39.66
8450	63.54	39.49
8500	63.74	39.39
8550	63.97	39.29
8600	64.16	39.18
8650	64.35	39.07
8700	64.67	39.04
8750	64.98	39.00
8800	65.12	38.86
8850	65.50	38.87
8900	65.75	38.80
8950	65.87	38.65
9000	66.03	38.53
9050	65.87	38.23
9100	65.83	37.99
9150	65.83	37.79
9200	65.99	37.67
9250	66.31	37.65
9300	66.64	37.63
9350	66.76	37.50
9400	66.76	37.30
9450	66.76	37.10
9500	66.76	36.91
9550	66.76	36.71
9600	66.64	36.46
9650	66.51	36.20
9700	66.51	36.01
9750	66.43	35.78
9800	66.51	35.64
9850	66.51	35.46
9900	66.51	35.28
9950	66.51	35.11
10000	66.43	34.89
10050	66.43	34.71
10100	66.51	34.59
10150	66.51	34.42
10200	66.43	34.20
10250	66.18	33.91
10300	65.75	33.52
10350	65.75	33.36
10400	66.03	33.35
10450	66.03	33.19
10500	65.83	32.93
10550	65.50	32.61
10600	65.25	32.33
10650	65.59	32.35
10700	65.50	32.15
10750	65.12	31.81
10800	64.82	31.52
10850	64.55	31.25
10900	64.35	31.01
11000	64.25	30.68
11052	64.25	30.53
11104	63.54	30.05
11156	62.67	29.51
11209	62.67	29.37
11261	61.97	28.90
11313	61.41	28.51
11365	60.91	28.15

11417	59.66	27.45









































